Key	Dividers	Divider	width ns	ck freq	wd-clk32	buff-clk
div_637	i-49 j-13	637	3981.25	251177.394	7849.293564	122.6452119
div_638	i-58 j-11	638	3987.5	250783.6991	7836.990596	122.4529781
div_640	i-64 j-10	640	4000	250000	7812.5	122.0703125
div_644	i-46 j-14	644	4025	248447.205	7763.975155	121.3121118
div_645	i-43 j-15	645	4031.25	248062.0155	7751.937984	121.124031
div_646	i-38 j-17	646	4037.5	247678.0186	7739.93808	120.9365325
div_648	i-54 j-12	648	4050	246913.5802	7716.049383	120.5632716
div_649	i-59 j-11	649	4056.25	246533.1279	7704.160247	120.3775039
div_650	i-50 j-13	650	4062.5	246153.8462	7692.307692	120.1923077
div_651	i-31 j-21	651	4068.75	245775.7296	7680.491551	120.0076805
div_656	i-41 j-16	656	4100	243902.439	7621.95122	119.0929878
div_658	i-47 j-14	658	4112.5	243161.0942	7598.784195	118.731003
div_660	i-60 j-11	660	4125	242424.2424	7575.757576	118.3712121
div_663	i-51 j-13	663	4143.75	241327.3002	7541.47813	117.8355958
div_665	i-35 j-19	665	4156.25	240601.5038	7518.796992	117.481203
div_666	i-37 j-18	666	4162.5	240240.2402	7507.507508	117.3048048
div_667	i-29 j-23	667	4168.75	239880.06	7496.251874	117.1289355
div_671	i-61 j-11	671	4193.75	238450.0745	7451.564829	116.4307004
div_672	i-56 j-12	672	4200	238095.2381	7440.47619	116.2574405
div_675	i-45 j-15	675	4218.75	237037.037	7407.407407	115.7407407
div_676	i-52 j-13	676	4225	236686.3905	7396.449704	115.5695266
div_680	i-40 j-17	680	4250	235294.1176	7352.941176	114.8897059
div_682	i-62 j-11	682	4262.5	234604.1056	7331.378299	114.5527859
div_684	i-57 j-12	684	4275	233918.1287	7309.94152	114.2178363
div_686	i-49 j-14	686	4287.5	233236.1516	7288.629738	113.8848397
div_688	i-43 j-16	688	4300	232558.1395	7267.44186	113.5537791
div_689	i-53 j-13	689	4306.25	232220.6096	7256.894049	113.3889695
div_690	i-46 j-15	690	4312.5	231884.058	7246.376812	113.2246377
div_693	i-63 j-11	693	4331.25	230880.2309	7215.007215	112.7344877
div_696	i-58 j-12	696	4350	229885.0575	7183.908046	112.2485632
div_697	i-41 j-17	697	4356.25	229555.2367	7173.601148	112.0875179
div_700	i-50 j-14	700	4375	228571.4286	7142.857143	111.6071429
div_702	i-54 j-13	702	4387.5	227920.2279	7122.507123	111.2891738
div_703	i-37 j-19	703	4393.75	227596.0171	7112.375533	111.1308677
div_704	i-64 j-11	704	4400	227272.7273	7102.272727	110.9730114
div_705	i-47 j-15	705	4406.25	226950.3546	7092.198582	110.8156028
div_708	i-59 j-12	708	4425	225988.7006	7062.146893	110.3460452
div_713	i-31 j-23	713	4456.25	224403.9271	7012.622721	109.57223
div_714	i-51 j-14	714	4462.5	224089.6359	7002.80112	109.4187675
div_715	i-55 j-13	715	4468.75	223776.2238	6993.006993	109.2657343
div_720	i-60 j-12	720	4500	222222.2222	6944.444444	108.5069444
div_722	i-38 j-19	722	4512.5	221606.6482	6925.207756	108.2063712
div_725	i-29 j-25	725	4531.25	220689.6552	6896.551724	107.7586207
div_726	i-33 j-22	726	4537.5	220385.6749	6887.052342	107.6101928
div_728	i-56 j-13	728	4550	219780.2198	6868.131868	107.3145604
div_729	i-27 j-27	729	4556.25	219478.738	6858.710562	107.1673525
div_731	i-43 j-17	731	4568.75	218878.249	6839.94528	106.874145
div_732	i-61 j-12	732	4575	218579.235	6830.601093	106.7281421
div_735	i-49 j-15	735	4593.75	217687.0748	6802.721088	106.292517
div_736	i-46 j-16	736	4600	217391.3043	6793.478261	106.1480978
div_738	i-41 j-18	738	4612.5	216802.168	6775.067751	105.8604336
div_740	i-37 j-20	740	4625	216216.2162	6756.756757	105.5743243
div_741	i-57 j-13	741	4631.25	215924.4265	6747.638327	105.4318489
div_742	i-53 j-14	742	4637.5	215633.4232	6738.544474	105.2897574
div_744	i-62 j-12	744	4650	215053.7634	6720.430108	105.0067204
div_748	i-44 j-17	748	4675	213903.7433	6684.491979	104.4451872
div_750	i-50 j-15	750	4687.5	213333.3333	6666.666667	104.1666667
div_752	i-47 j-16	752	4700	212765.9574	6648.93617	103.8896277
div_754	i-58 j-13	754	4712.5	212201.5915	6631.299735	103.6140584
div_756	i-63 j-12	756	4725	211640.2116	6613.756614	103.3399471
div_759	i-33 j-23	759	4743.75	210803.6891	6587.615283	102.9314888
div_760	i-40 j-19	760	4750	210526.3158	6578.947368	102.7960526
div_765	i-51 j-15	765	4781.25	209150.3268	6535.947712	102.124183
div_767	i-59 j-13	767	4793.75	208604.9544	6518.904824	101.8578879
div_768	i-64 j-12	768	4800	208333.3333	6510.416667	101.7252604
div_770	i-55 j-14	770	4812.5	207792.2078	6493.506494	101.461039
div_774	i-43 j-18	774	4837.5	206718.3463	6459.94832	100.9366925
div_775	i-31 j-25	775	4843.75	206451.6129	6451.612903	100.8064516
div_777	i-37 j-21	777	4856.25	205920.2059	6435.006435	100.5469755
div_779	i-41 j-19	779	4868.75	205391.5276	6418.485237	100.2888318
div_780	i-60 j-13	780	4875	205128.2051	6410.25641	100.1602564
div_782	i-46 j-17	782	4887.5	204603.5806	6393.861893	99.90409207
div_783	i-29 j-27	783	4893.75	204342.2733	6385.696041	99.77650064
div_784	i-56 j-14	784	4900	204081.6327	6377.55102	99.64923469
div_792	i-44 j-18	792	4950	202020.202	6313.131313	98.64267677
div_793	i-61 j-13	793	4956.25	201765.4477	6305.17024	98.51828499
div_795	i-53 j-15	795	4968.75	201257.8616	6289.308176	98.27044025
div_798	i-57 j-14	798	4987.5	200501.2531	6265.66416	97.90100251
div_799	i-47 j-17	799	4993.75	200250.3129	6257.822278	97.77847309
div_800	i-50 j-16	800	5000	200000	6250	97.65625
div_805	i-35 j-23	805	5031.25	198757.764	6211.180124	97.04968944
div_806	i-62 j-13	806	5037.5	198511.1663	6203.473945	96.9292804
div_810	i-54 j-15	810	5062.5	197530.8642	6172.839506	96.45061728
div_812	i-58 j-14	812	5075	197044.335	6157.635468	96.21305419
div_814	i-37 j-22	814	5087.5	196560.1966	6142.506143	95.97665848
div_816	i-51 j-16	816	5100	196078.4314	6127.45098	95.74142157
div_817	i-43 j-19	817	5106.25	195838.4333	6119.95104	95.62423501
div_819	i-63 j-13	819	5118.75	195360.1954	6105.006105	95.39072039
div_820	i-41 j-20	820	5125	195121.9512	6097.560976	95.27439024
div_825	i-55 j-15	825	5156.25	193939.3939	6060.606061	94.6969697
div_826	i-59 j-14	826	5162.5	193704.6005	6053.268765	94.58232446
div_828	i-46 j-18	828	5175	193236.715	6038.647343	94.35386473
div_832	i-64 j-13	832	5200	192307.6923	6009.615385	93.90024038
div_833	i-49 j-17	833	5206.25	192076.8307	6002.40096	93.78751501
div_836	i-44 j-19	836	5225	191387.5598	5980.861244	93.45095694
div_837	i-31 j-27	837	5231.25	191158.9008	5973.715651	93.33930705
div_840	i-60 j-14	840	5250	190476.1905	5952.380952	93.00595238
div_841	i-29 j-29	841	5256.25	190249.7027	5945.30321	92.89536266
div_846	i-47 j-18	846	5287.5	189125.2955	5910.165485	92.3463357
div_848	i-53 j-16	848	5300	188679.2453	5896.226415	92.12853774
div_850	i-50 j-17	850	5312.5	188235.2941	5882.352941	91.91176471
div_851	i-37 j-23	851	5318.75	188014.1011	5875.440658	91.80376028
div_854	i-61 j-14	854	5337.5	187353.63	5854.800937	91.48126464
div_855	i-57 j-15	855	5343.75	187134.5029	5847.953216	91.37426901
div_858	i-39 j-22	858	5362.5	186480.1865	5827.505828	91.05477855
div_860	i-43 j-20	860	5375	186046.5116	5813.953488	90.84302326
div_861	i-41 j-21	861	5381.25	185830.4297	5807.200929	90.73751452
div_864	i-54 j-16	864	5400	185185.1852	5787.037037	90.4224537
div_867	i-51 j-17	867	5418.75	184544.406	5767.012687	90.10957324
div_868	i-62 j-14	868	5425	184331.7972	5760.368664	90.00576037
div_870	i-58 j-15	870	5437.5	183908.046	5747.126437	89.79885057
div_874	i-46 j-19	874	5462.5	183066.3616	5720.823799	89.38787185
div_875	i-35 j-25	875	5468.75	182857.1429	5714.285714	89.28571429
div_880	i-55 j-16	880	5500	181818.1818	5681.818182	88.77840909
div_882	i-63 j-14	882	5512.5	181405.8957	5668.93424	88.57709751
div_884	i-52 j-17	884	5525	180995.4751	5656.108597	88.37669683
div_885	i-59 j-15	885	5531.25	180790.9605	5649.717514	88.27683616
div_888	i-37 j-24	888	5550	180180.1802	5630.630631	87.9786036
div_891	i-33 j-27	891	5568.75	179573.5129	5611.672278	87.68237935
div_893	i-47 j-19	893	5581.25	179171.3326	5599.104143	87.48600224
div_896	i-64 j-14	896	5600	178571.4286	5580.357143	87.19308036
div_897	i-39 j-23	897	5606.25	178372.3523	5574.136009	87.09587514
div_899	i-31 j-29	899	5618.75	177975.5284	5561.735261	86.90211346
div_900	i-60 j-15	900	5625	177777.7778	5555.555556	86.80555556
div_901	i-53 j-17	901	5631.25	177580.4661	5549.389567	86.70921199
div_902	i-41 j-22	902	5637.5	177383.592	5543.237251	86.61308204
div_903	i-43 j-21	903	5643.75	177187.1539	5537.09856	86.51716501
div_910	i-35 j-26	910	5687.5	175824.1758	5494.505495	85.85164835
div_912	i-57 j-16	912	5700	175438.5965	5482.45614	85.66337719
div_915	i-61 j-15	915	5718.75	174863.388	5464.480874	85.38251366
div_918	i-54 j-17	918	5737.5	174291.939	5446.623094	85.10348584
div_920	i-46 j-20	920	5750	173913.0435	5434.782609	84.91847826
div_924	i-44 j-21	924	5775	173160.1732	5411.255411	84.5508658
div_925	i-37 j-25	925	5781.25	172972.973	5405.405405	84.45945946
div_928	i-58 j-16	928	5800	172413.7931	5387.931034	84.18642241
div_930	i-62 j-15	930	5812.5	172043.0108	5376.344086	84.00537634
div_931	i-49 j-19	931	5818.75	171858.217	5370.56928	83.91514501
div_935	i-55 j-17	935	5843.75	171122.9947	5347.593583	83.55614973
div_936	i-52 j-18	936	5850	170940.1709	5341.880342	83.46688034
div_940	i-47 j-20	940	5875	170212.766	5319.148936	83.11170213
div_943	i-41 j-23	943	5893.75	169671.2619	5302.226935	82.84729586
div_944	i-59 j-16	944	5900	169491.5254	5296.610169	82.7595339
div_945	i-63 j-15	945	5906.25	169312.1693	5291.005291	82.67195767
div_946	i-43 j-22	946	5912.5	169133.1924	5285.412262	82.5845666
div_950	i-50 j-19	950	5937.5	168421.0526	5263.157895	82.23684211
div_952	i-56 j-17	952	5950	168067.2269	5252.10084	82.06407563
div_954	i-53 j-18	954	5962.5	167714.8847	5241.090147	81.89203354
div_957	i-33 j-29	957	5981.25	167189.1327	5224.660397	81.6353187
div_960	i-64 j-15	960	6000	166666.6667	5208.333333	81.38020833
div_961	i-31 j-31	961	6006.25	166493.2362	5202.913632	81.29552549
div_962	i-37 j-26	962	6012.5	166320.1663	5197.505198	81.21101871
div_966	i-46 j-21	966	6037.5	165631.47	5175.983437	80.8747412
div_968	i-44 j-22	968	6050	165289.2562	5165.289256	80.70764463
div_969	i-57 j-17	969	6056.25	165118.6791	5159.95872	80.62435501
div_972	i-54 j-18	972	6075	164609.0535	5144.032922	80.3755144
div_975	i-39 j-25	975	6093.75	164102.5641	5128.205128	80.12820513
div_976	i-61 j-16	976	6100	163934.4262	5122.95082	80.04610656
div_980	i-49 j-20	980	6125	163265.3061	5102.040816	79.71938776
div_984	i-41 j-24	984	6150	162601.626	5081.300813	79.3953252
div_986	i-58 j-17	986	6162.5	162271.8053	5070.993915	79.23427992
div_987	i-47 j-21	987	6168.75	162107.3961	5065.85613	79.15400203
div_988	i-52 j-19	988	6175	161943.3198	5060.728745	79.07388664
div_989	i-43 j-23	989	6181.25	161779.5753	5055.611729	78.99393327
div_990	i-55 j-18	990	6187.5	161616.1616	5050.505051	78.91414141
div_992	i-62 j-16	992	6200	161290.3226	5040.322581	78.75504032
div_999	i-37 j-27	999	6243.75	160160.1602	5005.005005	78.2032032
div_1000	i-50 j-20	1000	6250	160000	5000	78.125
div_1003	i-59 j-17	1003	6268.75	159521.4357	4985.044865	77.89132602
div_1007	i-53 j-19	1007	6293.75	158887.7855	4965.243297	77.58192651
div_1008	i-63 j-16	1008	6300	158730.1587	4960.31746	77.50496032
div_1012	i-46 j-22	1012	6325	158102.7668	4940.711462	77.1986166
div_1014	i-39 j-26	1014	6337.5	157790.927	4930.966469	77.04635108
div_1015	i-35 j-29	1015	6343.75	157635.468	4926.108374	76.97044335
div_1020	i-60 j-17	1020	6375	156862.7451	4901.960784	76.59313725
div_1023	i-33 j-31	1023	6393.75	156402.737	4887.585533	76.36852395
div_1024	i-64 j-16	1024	6400	156250	4882.8125	76.29394531
div_1025	i-41 j-25	1025	6406.25	156097.561	4878.04878	76.2195122
div_1026	i-57 j-18	1026	6412.5	155945.4191	4873.294347	76.14522417
div_1029	i-49 j-21	1029	6431.25	155490.7677	4859.086492	75.92322643
div_1032	i-43 j-24	1032	6450	155038.7597	4844.96124	75.70251938
div_1034	i-47 j-22	1034	6462.5	154738.8781	4835.589942	75.55609284
div_1035	i-45 j-23	1035	6468.75	154589.372	4830.917874	75.48309179
div_1036	i-37 j-28	1036	6475	154440.1544	4826.254826	75.41023166
div_1037	i-61 j-17	1037	6481.25	154291.2247	4821.600771	75.33751205
div_1040	i-52 j-20	1040	6500	153846.1538	4807.692308	75.12019231
div_1044	i-58 j-18	1044	6525	153256.705	4789.272031	74.83237548
div_1045	i-55 j-19	1045	6531.25	153110.0478	4784.688995	74.76076555
div_1050	i-50 j-21	1050	6562.5	152380.9524	4761.904762	74.4047619
div_1053	i-39 j-27	1053	6581.25	151946.8186	4748.338082	74.19278253
div_1054	i-62 j-17	1054	6587.5	151802.6565	4743.833017	74.12239089
div_1056	i-48 j-22	1056	6600	151515.1515	4734.848485	73.98200758
div_1058	i-46 j-23	1058	6612.5	151228.7335	4725.897921	73.84215501
div_1060	i-53 j-20	1060	6625	150943.3962	4716.981132	73.70283019
div_1062	i-59 j-18	1062	6637.5	150659.1337	4708.097928	73.56403013
div_1064	i-56 j-19	1064	6650	150375.9398	4699.24812	73.42575188
div_1066	i-41 j-26	1066	6662.5	150093.8086	4690.43152	73.2879925
div_1071	i-63 j-17	1071	6693.75	149393.0906	4668.53408	72.945845
div_1073	i-37 j-29	1073	6706.25	149114.6319	4659.832246	72.80987884
div_1075	i-43 j-25	1075	6718.75	148837.2093	4651.162791	72.6744186
div_1078	i-49 j-22	1078	6737.5	148423.0056	4638.218924	72.47217069
div_1080	i-60 j-18	1080	6750	148148.1481	4629.62963	72.33796296
div_1081	i-47 j-23	1081	6756.25	148011.1008	4625.346901	72.27104533
div_1083	i-57 j-19	1083	6768.75	147737.7655	4616.805171	72.13758079
div_1085	i-35 j-31	1085	6781.25	147465.4378	4608.294931	72.00460829
div_1088	i-64 j-17	1088	6800	147058.8235	4595.588235	71.80606618
div_1089	i-33 j-33	1089	6806.25	146923.7833	4591.368228	71.74012856
div_1092	i-52 j-21	1092	6825	146520.1465	4578.754579	71.54304029
div_1098	i-61 j-18	1098	6862.5	145719.49	4553.734062	71.15209472
div_1100	i-55 j-20	1100	6875	145454.5455	4545.454545	71.02272727
div_1102	i-58 j-19	1102	6887.5	145190.5626	4537.205082	70.8938294
div_1104	i-48 j-23	1104	6900	144927.5362	4528.985507	70.76539855
div_1107	i-41 j-27	1107	6918.75	144534.7787	4516.711834	70.5736224
div_1110	i-37 j-30	1110	6937.5	144144.1441	4504.504505	70.38288288
div_1113	i-53 j-21	1113	6956.25	143755.6155	4492.362983	70.19317161
div_1116	i-62 j-18	1116	6975	143369.1756	4480.286738	70.00448029
div_1118	i-43 j-26	1118	6987.5	143112.7013	4472.271914	69.87924866
div_1120	i-56 j-20	1120	7000	142857.1429	4464.285714	69.75446429
div_1121	i-59 j-19	1121	7006.25	142729.7056	4460.303301	69.69223907
div_1122	i-51 j-22	1122	7012.5	142602.4955	4456.327986	69.63012478
div_1125	i-45 j-25	1125	7031.25	142222.2222	4444.444444	69.44444444
div_1127	i-49 j-23	1127	7043.75	141969.8314	4436.557232	69.32120674
div_1128	i-47 j-24	1128	7050	141843.9716	4432.624113	69.25975177
div_1131	i-39 j-29	1131	7068.75	141467.7277	4420.86649	69.0760389
div_1134	i-63 j-18	1134	7087.5	141093.4744	4409.171076	68.89329806
div_1140	i-60 j-19	1140	7125	140350.8772	4385.964912	68.53070175
div_1144	i-52 j-22	1144	7150	139860.1399	4370.629371	68.29108392
div_1147	i-37 j-31	1147	7168.75	139494.333	4359.197908	68.11246731
div_1148	i-41 j-28	1148	7175	139372.8223	4355.400697	68.05313589
div_1150	i-50 j-23	1150	7187.5	139130.4348	4347.826087	67.93478261
div_1152	i-64 j-18	1152	7200	138888.8889	4340.277778	67.81684028
div_1155	i-55 j-21	1155	7218.75	138528.1385	4329.004329	67.64069264
div_1156	i-34 j-34	1156	7225	138408.3045	4325.259516	67.58217993
div_1159	i-61 j-19	1159	7243.75	138050.0431	4314.063848	67.40724763
div_1160	i-58 j-20	1160	7250	137931.0345	4310.344828	67.34913793
div_1161	i-43 j-27	1161	7256.25	137812.2308	4306.632214	67.29112834
div_1166	i-53 j-22	1166	7287.5	137221.2693	4288.164666	67.0025729
div_1170	i-45 j-26	1170	7312.5	136752.1368	4273.504274	66.77350427
div_1173	i-51 j-23	1173	7331.25	136402.387	4262.574595	66.60272805
div_1175	i-47 j-25	1175	7343.75	136170.2128	4255.319149	66.4893617
div_1176	i-56 j-21	1176	7350	136054.4218	4251.70068	66.43282313
div_1178	i-62 j-19	1178	7362.5	135823.4295	4244.482173	66.32003396
div_1180	i-59 j-20	1180	7375	135593.2203	4237.288136	66.20762712
div_1184	i-37 j-32	1184	7400	135135.1351	4222.972973	65.9839527
div_1188	i-54 j-22	1188	7425	134680.1347	4208.754209	65.76178451
div_1189	i-41 j-29	1189	7431.25	134566.8629	4205.214466	65.70647603
div_1190	i-35 j-34	1190	7437.5	134453.7815	4201.680672	65.6512605
div_1196	i-52 j-23	1196	7475	133779.2642	4180.602007	65.32190635
div_1197	i-63 j-19	1197	7481.25	133667.5021	4177.10944	65.267335
div_1200	i-60 j-20	1200	7500	133333.3333	4166.666667	65.10416667
div_1204	i-43 j-28	1204	7525	132890.3654	4152.82392	64.88787375
div_1209	i-39 j-31	1209	7556.25	132340.7775	4135.649297	64.61952026
div_1210	i-55 j-22	1210	7562.5	132231.405	4132.231405	64.5661157
div_1215	i-45 j-27	1215	7593.75	131687.2428	4115.226337	64.30041152
div_1216	i-64 j-19	1216	7600	131578.9474	4111.842105	64.24753289
div_1218	i-58 j-21	1218	7612.5	131362.89	4105.090312	64.14203612
div_1219	i-53 j-23	1219	7618.75	131255.1272	4101.722724	64.08941756
div_1220	i-61 j-20	1220	7625	131147.541	4098.360656	64.03688525
div_1221	i-37 j-33	1221	7631.25	131040.131	4095.004095	63.98443898
div_1222	i-47 j-26	1222	7637.5	130932.8969	4091.653028	63.93207856
div_1224	i-51 j-24	1224	7650	130718.9542	4084.96732	63.82761438
div_1225	i-49 j-25	1225	7656.25	130612.2449	4081.632653	63.7755102
div_1230	i-41 j-30	1230	7687.5	130081.3008	4065.04065	63.51626016
div_1232	i-56 j-22	1232	7700	129870.1299	4058.441558	63.41314935
div_1239	i-59 j-21	1239	7743.75	129136.4003	4035.51251	63.05488297
div_1240	i-62 j-20	1240	7750	129032.2581	4032.258065	63.00403226
div_1242	i-54 j-23	1242	7762.5	128824.4767	4025.764895	62.90257649
div_1247	i-43 j-29	1247	7793.75	128307.9391	4009.623095	62.65036087
div_1248	i-52 j-24	1248	7800	128205.1282	4006.410256	62.60016026
div_1250	i-50 j-25	1250	7812.5	128000	4000	62.5
div_1254	i-57 j-22	1254	7837.5	127591.7065	3987.240829	62.30063796
div_1258	i-37 j-34	1258	7862.5	127186.0095	3974.562798	62.10254372
div_1260	i-63 j-20	1260	7875	126984.127	3968.253968	62.00396825
div_1265	i-55 j-23	1265	7906.25	126482.2134	3952.56917	61.75889328
div_1269	i-47 j-27	1269	7931.25	126083.5303	3940.110323	61.5642238
div_1271	i-41 j-31	1271	7943.75	125885.1298	3933.910307	61.46734854
div_1272	i-53 j-24	1272	7950	125786.1635	3930.81761	61.41902516
div_1274	i-49 j-26	1274	7962.5	125588.697	3924.646782	61.32260597
div_1275	i-51 j-25	1275	7968.75	125490.1961	3921.568627	61.2745098
div_1276	i-58 j-22	1276	7975	125391.8495	3918.495298	61.22648903
div_1280	i-64 j-20	1280	8000	125000	3906.25	61.03515625
div_1281	i-61 j-21	1281	8006.25	124902.42	3903.200625	60.98750976
div_1287	i-39 j-33	1287	8043.75	124320.1243	3885.003885	60.7031857
div_1288	i-56 j-23	1288	8050	124223.6025	3881.987578	60.6560559
